NOME_ALUNO,Questão 01,Questão 02,Questão 03,Questão 04,Questão 05,Questão 06,Questão 07,Questão 08,Questão 09,Questão 10,Questão 11,Questão 12,Questão 13,Questão 14,Questão 15,Questão 16,Questão 17,Questão 18,Questão 19,Questão 20,Questão 21,Questão 22,Questão 23,Questão 24,Questão 25,Questão 26,Questão 27,Questão DESAFIO!,Media_Notas,ENTREGAS_NO_PRAZO,TOTAL_ENTREGAS,total_questoes,TAXA_ENGAJAMENTO
Aluno 01,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,22,28,28,79
Aluno 02,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,"8,93",24,28,28,86
Aluno 03,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,"8,93",28,28,28,100
Aluno 04,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,28,28,28,100
Aluno 05,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,26,28,28,93
Aluno 06,0,0,10,10,0,0,0,10,0,0,10,0,0,0,10,0,0,10,0,10,0,10,10,10,10,10,10,0,"4,64",28,28,28,100
Aluno 07,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,"3,57",20,26,28,71
Aluno 08,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,0,0,0,10,10,10,10,0,10,10,10,0,10,"7,5",26,28,28,93
Aluno 09,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,28,28,28,100
Aluno 10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,"8,93",28,28,28,100
Aluno 11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,"9,64",27,28,28,96
Aluno 12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,28,28,28,100
