NOME_ALUNO,Questão 1,Questão 2,Questão 3,Questão 4,Questão 5,Questão 6,Questão 7,Questão 8,Questão 9,Questão 10,Questão 11,Questão 12,Questão 13,Questão 14,Questão 15,Questão 16,Questão 17,Media_Notas,ENTREGAS_NO_PRAZO,TOTAL_ENTREGAS,TOTAL_QUESTOES,TAXA_ENGAJAMENTO
Aluno 01,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","0,00",9,16,16,17,94
Aluno 02,"10,00","10,00","10,00","10,00","10,00","6,67","10,00","10,00","6,67","10,00","10,00","0,00","8,00","10,00","0,00","8,00","10,00",8,17,17,17,100
Aluno 03,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00",10,17,17,17,100
Aluno 04,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00",10,17,17,17,100
Aluno 05,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00",10,16,17,17,100
Aluno 06,"6,67","10,00","10,00","10,00","10,00","10,00","10,00","5,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","7,50",9,17,17,17,100
Aluno 07,"3,33","0,00","0,00","5,00","10,00","6,67","6,67","10,00","6,67","5,00","10,00","10,00","2,00","10,00","1,43","8,00","7,50",6,12,17,17,100
Aluno 08,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","6,67","10,00","10,00","10,00","10,00","8,75","8,75","8,00","10,00",10,14,17,17,100
Aluno 09,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","0,00","10,00","10,00","10,00","10,00","10,00","10,00",9,16,16,17,94
Aluno 10,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00",10,17,17,17,100
Aluno 11,"10,00","5,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","0,00","10,00","10,00","10,00","0,00",9,15,15,17,88
Aluno 12,"10,00","5,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00",10,17,17,17,100
Aluno 13,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00",10,17,17,17,100
Aluno 14,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",4,7,7,17,41
Aluno 15,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00",10,17,17,17,100
Aluno 16,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","7,50","0,00","10,00","0,00","10,00","0,00",8,16,16,17,94
Aluno 17,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00",10,11,17,17,100
Aluno 18,"10,00","5,00","10,00","10,00","10,00","10,00","10,00","5,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","5,00",9,17,17,17,100
Aluno 19,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00",10,16,17,17,100
Aluno 20,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","0,00",9,16,16,17,94
Aluno 21,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","8,00","7,50","10,00","10,00","10,00","10,00","10,00",10,16,17,17,100
Aluno 22,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","7,50",10,17,17,17,100
Aluno 24,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","0,00","0,00",9,15,15,17,88
Aluno 25,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","0,00","0,00","10,00","0,00","10,00","10,00",8,11,15,17,88
Aluno 26,"10,00","5,00","10,00","10,00","10,00","10,00","10,00","10,00","6,67","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00",10,16,17,17,100
Aluno 27,"10,00","10,00","10,00","10,00","10,00","0,00","10,00","10,00","6,67","10,00","8,00","7,50","0,00","0,00","0,00","0,00","10,00",7,11,12,17,71
Aluno 28,"6,67","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00",10,17,17,17,100
Aluno 29,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00",10,17,17,17,100
Aluno 30,"10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00",10,16,17,17,100
Aluno 31,"6,67","10,00","10,00","10,00","10,00","10,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",3,5,6,17,35
Aluno 32,"6,67","0,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","2,50","0,00","0,00","0,00","10,00","0,00",6,1,12,17,71
